refactoring_type,project_id,patch_id,fork_name
RENAME_PARAMETER,1,1,linkedin
RENAME_METHOD,1,1,linkedin
CHANGE_OPERATION_ACCESS_MODIFIER,1,1,linkedin
RENAME_METHOD,1,1,linkedin
RENAME_METHOD,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
RENAME_ATTRIBUTE,1,1,linkedin
RENAME_METHOD,1,1,linkedin
RENAME_METHOD,1,1,linkedin
RENAME_METHOD,1,1,linkedin
ADD_PARAMETER,1,1,linkedin
EXTRACT_AND_MOVE_OPERATION,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_ATTRIBUTE_TYPE,1,1,linkedin
CHANGE_ATTRIBUTE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_ATTRIBUTE_TYPE,1,1,linkedin
CHANGE_ATTRIBUTE_TYPE,1,1,linkedin
CHANGE_ATTRIBUTE_TYPE,1,1,linkedin
CHANGE_PARAMETER_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_PARAMETER_TYPE,1,1,linkedin
CHANGE_PARAMETER_TYPE,1,1,linkedin
CHANGE_ATTRIBUTE_TYPE,1,1,linkedin
CHANGE_ATTRIBUTE_TYPE,1,1,linkedin
CHANGE_ATTRIBUTE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_PARAMETER_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_PARAMETER_TYPE,1,1,linkedin
CHANGE_ATTRIBUTE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_PARAMETER_TYPE,1,1,linkedin
ADD_METHOD_ANNOTATION,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_RETURN_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
ADD_METHOD_ANNOTATION,1,1,linkedin
ADD_METHOD_ANNOTATION,1,1,linkedin
ADD_METHOD_ANNOTATION,1,1,linkedin
ADD_METHOD_ANNOTATION,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
ADD_METHOD_ANNOTATION,1,1,linkedin
ADD_METHOD_ANNOTATION,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
CHANGE_VARIABLE_TYPE,1,1,linkedin
EXTRACT_VARIABLE,1,1,linkedin
RENAME_PARAMETER,1,1,linkedin
RENAME_METHOD,1,1,linkedin
ADD_PARAMETER,1,1,linkedin
INLINE_OPERATION,1,1,linkedin
INLINE_OPERATION,1,1,linkedin
INLINE_OPERATION,1,1,linkedin
INLINE_OPERATION,1,1,linkedin
INLINE_OPERATION,1,1,linkedin
INLINE_OPERATION,1,1,linkedin
MODIFY_METHOD_ANNOTATION,1,1,linkedin
MODIFY_METHOD_ANNOTATION,1,1,linkedin
MODIFY_METHOD_ANNOTATION,1,1,linkedin
MODIFY_METHOD_ANNOTATION,1,1,linkedin
MODIFY_METHOD_ANNOTATION,1,1,linkedin
MODIFY_METHOD_ANNOTATION,1,1,linkedin
MODIFY_METHOD_ANNOTATION,1,1,linkedin
EXTRACT_VARIABLE,1,1,linkedin
ADD_PARAMETER,1,1,linkedin
ADD_PARAMETER,1,1,linkedin
RENAME_VARIABLE,1,1,linkedin
RENAME_VARIABLE,1,1,linkedin
RENAME_VARIABLE,1,1,linkedin
